Course Name,Link,Duration(Hr),Link_1
Teradata,https://hclcontent.percipio.com/books/71a51d60-f2a9-11e6-b0e2-0242c0a80804,2,Percipio Book Teradata Architecture for IT and Developers
Teradata,,16,Percipio Channel Teradata
Teradata,https://hclcontent.percipio.com/books/a76566f0-f243-11e6-ad5d-0242c0a80607,3,"Percipio Book Teradata Utilities: BTEQ, FastLoad, MultiLoad, TPump, and FastExport, Second Edition;"
Teradata,,2,Percipio Book Teradata Load Utilities
"Data Mangement, governance & quality",https://hclcontent.percipio.com/track/9500db4c-7c0d-4cfd-8c1d-365fadfe9975,5,Percipio Track Track 2: Data Ownership
"AWS Data Stack (AWS Glue, AWS EMR, AWS Athena, AWS RedShift)",https://hclcontent.percipio.com/linked-contents/7f81ac44-5e28-400f-8183-5e1962a13f55/landing,1,Percipio Content AWS Glue Getting Started
"AWS Data Stack (AWS Glue, AWS EMR, AWS Athena, AWS RedShift)",https://hclcontent.percipio.com/linked-contents/1ca34185-c63d-4bfe-b4f0-764ebcb64d5c/landing,1,Percipio Content Amazon EMR Getting Started
"AWS Data Stack (AWS Glue, AWS EMR, AWS Athena, AWS RedShift)",https://hclcontent.percipio.com/courses/1154ebf3-59a8-4736-b34b-9b68a5464be1/videos/6f35b86a-f96c-496b-821d-231e347c0aa2,1,"Percipio Course AWS Certified Machine Learning: Athena, QuickSight, & EMR"
"AWS Data Stack (AWS Glue, AWS EMR, AWS Athena, AWS RedShift)",https://hclcontent.percipio.com/linked-contents/d92bad34-566b-4f87-9838-420cf5895b00/landing,1,Percipio Content Getting Started with Amazon Redshift
"Datastage(Datawarehouse concept(what it is, dimension & fact tables))",https://hclcontent.percipio.com/courses/a8b7332a-4ebe-4a8d-9e62-821ea16f95c9/videos/ac0de726-b9f3-4279-adee-fbd9e61d443a,5.63,Percipio Course Traditional Data Architectures: Data Warehousing and ETL Systems; https://hclcontent.percipio.com/channels/e8fdec76-bd65-4935-80c9-031d06a3f056/view/957d8c93-0768-43d1-8cf2-c323fe68659c?tab=WATCH
